hole_id;date;easting_x;northing_y;elevation;elev_topo;eoh;is_old;is_twin;inc_samp
E07-017;44545;404120.68;114875.1;375.571;392.1260071;16;1;0;18
E07-018;44394;404127.929;114849.522;383.153;397.9379883;30;1;0;34
E07-019;44545;404157.778;114865.303;371.663;392.0090027;16;1;0;16
E07-020;44394;404170.353;114853.791;371.346;393.8380127;10.5;1;0;15
E07-021;44545;404208.368;114873.263;376.459;391.0629883;19.5;1;0;21
E07-022;44394;404228.576;114850.246;379.633;394.8009949;30;1;0;34
E07-023;44545;404255.964;114874.813;373.679;390.553009;7.5;1;0;8
E07-024A;44394;404279.97;114846.744;378.937;395.0969849;18;1;0;26
E07-025;44546;404307.925;114873.409;364.991;384.7789917;15;1;0;15
E07-026;44394;404325.438;114844.589;374.078;392.802002;12;1;0;15
E07-027;44546;404338.767;114857.638;374.033;386.0690002;8;1;0;11
E07-028;44394;404384.812;114845.663;364.724;384.5310059;7.5;1;0;10
E07-029;44248;404408.355;114875.499;371.605;382.7969971;13.5;1;0;15
E07-030;44394;404430.252;114855.836;377.324;389.1340027;22.5;1;0;30
E07-031;44248;404456.433;114874.865;373.35;388.7309875;20;1;0;20
E07-032;44394;404473.394;114850.339;374.15;391.5090027;15;1;0;20
E07-049;44545;404106.148;114827.2;390.692;402.2080078;7;1;0;7
E07-050;44394;404137.515;114791.524;391.395;407.0329895;15;1;0;20
E07-051;44545;404159.632;114821.507;382.114;400.9700012;18;1;0;19
E07-052;44394;404177.513;114800.723;382.523;402.7229919;26.5;1;0;31
E07-053;44545;404205.883;114824.213;379.131;396.9159851;14;1;0;14
E07-053B;44545;404221.582;114832.163;381.769;396.3859863;22.5;1;0;26
E07-054;44394;404228.224;114802.139;385.062;399.45401;19.5;1;0;20
E07-055;44545;404254.834;114827.12;383.952;398.9630127;12.35;1;0;16
E07-056;44393;404281.732;114799.883;389.997;403.3959961;15;1;0;21
E07-057;44546;404303.045;114824.195;383.601;399.6539917;16.5;1;0;19
E07-058;44393;404329.817;114800.75;384.687;401.5700073;15.4;1;0;22
E07-059;44546;404356.463;114825.73;377.413;393.0740051;8;1;0;8
E07-060;44256;404379.811;114801.933;372.724;393.9159851;2;1;0;3
E07-061;44546;404406.005;114821.934;384.644;390.2890015;7;1;0;7
E07-062;44394;404424.054;114796.952;387.493;396.802002;19.5;1;0;24
E07-063;44255;404455.233;114828.421;380.579;394.302002;11;1;0;12
E07-064;44394;404483.288;114793.316;370.002;392.6359863;18;1;0;23
E07-081;44545;404120.924;114787.751;393.183;407.9400024;12.2;1;0;15
E07-082;44393;404126.549;114748.907;394.741;411.5150146;23.5;1;0;28
E07-084;44394;404175.657;114736.058;384.897;411.2099915;8.5;1;0;10
E07-085;44545;404191.867;114768.399;387.83;405.5029907;17;1;0;19
E07-086;44393;404232.906;114752.227;386.708;408.1080017;12;1;0;12
E07-087;44546;404259.416;114772.147;395.878;406.4930115;14;1;0;16
E07-088;44256;404284.381;114751.692;396.106;412.381012;9.6;1;0;11
E07-089;44546;404306.362;114776.408;394.348;406.4949951;9.7;1;0;12
E07-090;44393;404323.848;114747.63;393.36;409.5339966;19.5;1;0;24
E07-091;44546;404357.978;114775.569;384.086;401.4750061;4;1;0;6
E07-092;44396;404378.139;114749.55;381.962;403.9809875;9;1;0;12
E07-093;44546;404408.617;114775.195;387.285;399.1740112;10;1;0;12
E07-094;44394;404434.72;114743.826;387.744;404.1000061;13;1;0;17
E07-095;44255;404456.794;114776.349;380.365;398.5440063;12.3;1;0;14
E07-096;44394;404477.406;114744.836;384.46;401.1539917;15;1;0;26
E07-113;44545;404111.353;114723.646;394.721;413.5329895;15.5;1;0;19
E07-114;44393;404136.828;114694.848;402.466;419.3389893;25;1;0;30
E07-115;44545;404155.492;114718.396;394.812;414.5409851;15;1;0;16
E07-116;44393;404177.44;114695.978;400.639;418.5490112;13.5;1;0;15
E07-117;44545;404216.538;114722.484;400.202;412.8179932;7;1;0;8
E07-118;44256;404233.773;114703.355;400.615;417.3139954;20.5;1;0;23
E07-118B;44483;404237.632;114676.901;402.131;421.8779907;22;1;0;26
E07-119;44547;404256.952;114725.11;398.368;415.8309937;10;1;0;10
E07-120;44256;404276.697;114701.986;401.58;420.0220032;15;1;0;15
E07-120B;44396;404275.949;114681.072;405.194;423.1560059;30;1;0;36
E07-121;44546;404307.26;114724.407;400.654;415.9750061;15.5;1;0;18
E07-122;44393;404323.415;114694.131;401.678;419.4899902;9;1;0;9
E07-123;44256;404356.601;114719.949;393.702;412.2940063;9.5;1;0;12
E07-124;44395;404394.225;114690.614;390.533;414.5899963;12;1;0;15
E07-125;44256;404406.808;114741.65;388.867;403.625;4;1;0;5
E07-126;44394;404424.737;114700.972;386.827;408.7850037;15;1;0;18
E07-127;44255;404459.75;114728.469;390.24;404.1940002;4.3;1;0;5
E07-128;44395;404478.626;114697.268;384.02;403.9030151;12;1;0;15
E07-145;44545;404100.36;114676.775;405.087;421.4179993;7;1;0;9
E07-146;44393;404122.818;114644.39;415.127;428.2529907;6;1;0;6
E07-147;44545;404148.016;114671.505;409.086;424.1830139;8.35;1;0;10
E07-148;44393;404186.589;114645.127;414.725;430.7049866;5;1;0;5
E07-149;44545;404199.419;114666.811;407.832;424.5289917;11;1;0;12
E07-150;44483;404234.155;114648.933;403.234;427.4110107;15;1;0;17
E07-151;44547;404261.923;114666.151;406.922;425.4190063;16.7;1;0;18
E07-152;44393;404282.986;114648.546;412.195;428.7269897;17;1;0;20
E07-152A;44483;404309.261;114639.948;412.418;429.6489868;11.5;1;0;13
E07-153;44546;404304.961;114671.107;406.324;424.3739929;15;1;0;18
E07-153A;44483;404329.944;114660.095;411.134;426.6270142;10;1;0;12
E07-154;44393;404333.841;114647.3;413.229;428.6130066;15;1;0;18
E07-154A;44483;404355.574;114645.938;413.87;427.5270081;9.35;1;0;13
E07-155;44546;404354.412;114666.86;411.211;424.4779968;9;1;0;11
E07-156A;44393;404376.734;114648.166;404.012;424.4049988;12;1;0;12
E07-157;44546;404404.584;114657.834;394.849;418.7250061;7.3;1;0;9
E07-158;44395;404432.509;114657.338;396.543;415.2130127;12.8;1;0;20
E07-159;44546;404451.652;114675.756;392.535;409.9509888;3;1;0;3
E07-160;44395;404469.315;114651.815;386.485;411.0549927;9.3;1;0;12
E07-181;44545;404203.963;114626.994;416.738;434.7510071;6;1;0;7
E07-182;44483;404229.539;114595.908;417.167;440.9190063;7;1;0;7
E07-183;44547;404241.014;114619.257;407.437;434.6019897;11;1;0;11
E07-183B;44393;404272.94;114622.416;414.415;432.7829895;17;1;0;17
E07-184;44396;404283.995;114595.67;420.912;435.75;14;1;0;15
E07-185;44546;404318.687;114621.114;417.536;432.0629883;8;1;0;8
E07-186;44393;404325.749;114589.573;416.079;436.0809937;14;1;0;17
E07-186A;44483;404344.802;114608.778;416.16;433.0669861;13;1;0;14
E07-187;44546;404343.626;114626.138;415.368;431.0320129;10;1;0;10
E07-188;44395;404382.736;114599.449;411.011;431.3089905;13;1;0;14
E07-189;44546;404405.117;114618.234;409.584;425.5660095;10;1;0;11
E07-190;44395;404424.711;114604.512;412.529;428.3429871;20;1;0;26
E07-191;44547;404446.921;114622.855;405.294;421.3389893;9;1;0;9
E07-192;44396;404479.165;114602.542;392.783;420.2210083;10;1;0;11
E07-215;44546;404256.023;114572.905;426.216;444.4769897;12.25;1;0;14
E07-216;44483;404279.397;114543.985;436.983;451.4769897;8.4;1;0;10
E07-217;44546;404301.282;114566.424;427.371;441.375;7;1;0;7
E07-219;44546;404348.635;114565.404;415.575;438.2839966;9;1;0;9
E07-220;44483;404374.756;114539.505;427.436;444.7590027;8;1;0;8
E07-221;44546;404402.256;114566.375;418.824;436.6099854;6;1;0;9
E07-222;44396;404436.52;114549.223;410.055;435.5050049;7.5;1;0;8
E07-223;44547;404454.042;114564.828;408.968;430.0100098;7;1;0;7
E07-224;44395;404478.58;114553.355;412.94;429.2929993;12;1;0;14
E07-245;44317;404205.087;114523.952;463.817;472.8049927;7.6;1;0;10
E07-249;44255;404295.97;114526.233;439.577;453.5629883;9;1;0;9
E07-250;44483;404335.048;114493.457;444.005;459.5629883;8;1;0;10
E07-251;44255;404367.512;114520.598;433.575;449.6990051;4;1;0;4
E07-252;44483;404384.318;114497.4;438.546;455.5920105;10;1;0;12
E07-253;44255;404397.247;114519.047;424.943;447.9979858;8;1;0;8
E07-255;44255;404456.57;114528.277;425.811;435.2340088;10;1;0;10
E08-017;44318;404105.843;114472.053;480.323;486.0939941;16;1;0;23
E08-019;44318;404166.021;114471.384;482.353;492.4830017;16.5;1;0;23
E08-021;44317;404203.157;114475.51;481.967;492.9339905;14.25;1;0;16
E08-049;44318;404102.655;114419.963;493.821;502.3710022;12;1;0;13
E08-051;44318;404163.211;114430.671;497.381;506.4389954;15;1;0;19
E08-053;44317;404206.762;114417.287;495.763;510.3940125;21;1;0;30
E08-055;44317;404246.651;114417.947;490.216;505.6600037;16;1;0;21
E08-081;44318;404107.593;114373.243;503.433;517.7589722;24;1;0;30
E08-083;44318;404164.049;114377.331;511.578;523.2810059;12;1;0;15
E08-085;44317;404204.111;114371.364;509.516;524.4060059;21;1;0;24
E08-087;44317;404242.884;114364.857;504.449;519.6729736;8.7;1;0;9
E08-093;44393;404412.196;114368.233;487.859;493.9299927;10;1;0;18
E08-095;44393;404454.272;114371.85;484.179;492.723999;8;1;0;10
E08-113;44318;404110.375;114321.715;515.1885;529.3590088;22;1;0;29
E08-115;44318;404165.204;114326.676;517.215;535.1400146;10;1;0;14
E08-117;44318;404201.798;114321.768;516.818;535.572998;16.5;1;0;20
E08-119;44317;404261.657;114315.454;517.071;534.414978;12;1;0;14
E08-121;44317;404296.43;114314.889;530.003;534.960022;7;1;0;7
E08-125;44393;404413.196;114324.417;490.078;509.1409912;6;1;0;13
E08-126;44391;404435.414;114307.39;506.158;512.6129761;5;1;0;8
E08-127;44254;404457.416;114322.241;504.091;505.8829956;6;1;0;6
E08-128;44391;404481.886;114285.978;509.763;511.4460144;6;1;0;10
E08-145;44318;404132.278;114278.285;524.707;539.3330078;17;1;0;25
E08-147;44318;404164.059;114273.188;526.666;545.8460083;7.5;1;0;9
E08-149;44318;404212.264;114271.885;527.56;550.6170044;12;1;0;13
E08-151;44317;404249.032;114270.747;527.807;550.3540039;7.8;1;0;10
E08-153;44317;404303.718;114267.499;541.136;551.4619751;10.5;1;0;16
E08-158;44391;404430.395;114240.637;516.978;528.585022;6;1;0;10
E08-160;44391;404480.337;114245.966;512.511;524.7410278;20;1;0;22
E08-179;44318;404156.584;114223.56;535.615;556.21698;18;1;0;23
E08-181;44318;404204.298;114226.506;535.763;561.1500244;11.8;1;0;15
E08-185;44317;404304.522;114224.801;551.054;563.8430176;11.7;1;0;15
E08-190;44390;404434.642;114192.342;531.436;544.0949707;5.7;1;0;10
E08-192;44390;404470.85;114191.289;524.56;544.4160156;3.35;1;0;5
E08-211;44318;404157.419;114170.29;549.735;570.0349731;21;1;0;26
E08-213;44318;404203.153;114177.232;556.155;574.4450073;13;1;0;14
E08-215;44318;404253.331;114169.175;567.073;582.4169922;7;1;0;7
E08-224;44390;404477.707;114151.661;534.621;553.4790039;10;1;0;13
E08-255;44254;404459.247;114118.481;544.017;562.007019;13;1;0;15
