hole_id,date,easting_x,northing_y,elevation,elev_topo,eoh,is_old,is_twin,inc_samp,elev_1
E07-053B,"44545",404221.582,114832.163,381.769,,22.5,"1","0","26",396.689666748047
E07-054,"44394",404228.224,114802.139,385.062,,19.5,"1","0","20",399.43505859375
E07-055,"44545",404254.834,114827.12,383.952,,12.35,"1","0","16",398.608612060547
E07-056,"44393",404281.732,114799.883,389.997,,15,"1","0","21",403.772583007812
E07-057,"44546",404303.045,114824.195,383.601,,16.5,"1","0","19",399.933563232422
E07-058,"44393",404329.817,114800.75,384.687,,15.4,"1","0","22",401.847625732422
E07-059,"44546",404356.463,114825.73,377.413,,8,"1","0","8",393.938537597656
E07-060,"44256",404379.811,114801.933,372.724,,2,"1","0","3",392.986419677734
E07-061,"44546",404406.005,114821.934,384.644,,7,"1","0","7",390.288055419922
E07-062,"44394",404424.054,114796.952,387.493,,19.5,"1","0","24",396.668304443359
E07-063,"44255",404455.233,114828.421,380.579,,11,"1","0","12",394.131072998047
E07-064,"44394",404483.288,114793.316,370.002,,18,"1","0","23",392.785888671875
E07-081,"44545",404120.924,114787.751,393.183,,12.2,"1","0","15",407.834503173828
E07-082,"44393",404126.549,114748.907,394.741,,23.5,"1","0","28",411.612731933594
E07-084,"44394",404175.657,114736.058,384.897,,8.5,"1","0","10",410.898315429688
E07-085,"44545",404191.867,114768.399,387.83,,17,"1","0","19",405.036163330078
E07-086,"44393",404232.906,114752.227,386.708,,12,"1","0","12",407.373962402344
E07-087,"44546",404259.416,114772.147,395.878,,14,"1","0","16",406.246948242188
E07-088,"44256",404284.381,114751.692,396.106,,9.6,"1","0","11",411.490539550781
E07-089,"44546",404306.362,114776.408,394.348,,9.7,"1","0","12",405.792205810547
E07-090,"44393",404323.848,114747.63,393.36,,19.5,"1","0","24",409.780853271484
E07-091,"44546",404357.978,114775.569,384.086,,4,"1","0","6",402.163482666016
E07-092,"44396",404378.139,114749.55,381.962,,9,"1","0","12",404.092437744141
E07-093,"44546",404408.617,114775.195,387.285,,10,"1","0","12",399.559387207031
E07-094,"44394",404434.72,114743.826,387.744,,13,"1","0","17",403.654235839844
E07-095,"44255",404456.794,114776.349,380.365,,12.3,"1","0","14",399.197998046875
E07-096,"44394",404477.406,114744.836,384.46,,15,"1","0","26",400.460784912109
E07-113,"44545",404111.353,114723.646,394.721,,15.5,"1","0","19",413.701446533203
E07-114,"44393",404136.828,114694.848,402.466,,25,"1","0","30",418.787811279297
E07-115,"44545",404155.492,114718.396,394.812,,15,"1","0","16",413.956329345703
E07-116,"44393",404177.44,114695.978,400.639,,13.5,"1","0","15",418.242553710938
E07-117,"44545",404216.538,114722.484,400.202,,7,"1","0","8",412.830444335938
E07-118,"44256",404233.773,114703.355,400.615,,20.5,"1","0","23",416.745910644531
E07-118B,"44483",404237.632,114676.901,402.131,,22,"1","0","26",421.412170410156
E07-119,"44547",404256.952,114725.11,398.368,,10,"1","0","10",416.257720947266
E07-120,"44256",404276.697,114701.986,401.58,,15,"1","0","15",419.542877197266
E07-120B,"44396",404275.949,114681.072,405.194,,30,"1","0","36",423.243011474609
E07-121,"44546",404307.26,114724.407,400.654,,15.5,"1","0","18",416.355377197266
E07-122,"44393",404323.415,114694.131,401.678,,9,"1","0","9",418.936462402344
E07-123,"44256",404356.601,114719.949,393.702,,9.5,"1","0","12",411.76708984375
E07-124,"44395",404394.225,114690.614,390.533,,12,"1","0","15",414.384490966797
E07-125,"44256",404406.808,114741.65,388.867,,4,"1","0","5",404.013610839844
E07-126,"44394",404424.737,114700.972,386.827,,15,"1","0","18",409.604064941406
E07-127,"44255",404459.75,114728.469,390.24,,4.3,"1","0","5",404.314361572266
E07-128,"44395",404478.626,114697.268,384.02,,12,"1","0","15",403.513946533203
E07-145,"44545",404100.36,114676.775,405.087,,7,"1","0","9",420.730499267578
E07-146,"44393",404122.818,114644.39,415.127,,6,"1","0","6",427.479888916016
E07-147,"44545",404148.016,114671.505,409.086,,8.35,"1","0","10",424.025939941406
E07-148,"44393",404186.589,114645.127,414.725,,5,"1","0","5",429.905639648438
E07-149,"44545",404199.419,114666.811,407.832,,11,"1","0","12",425.239166259766
E07-150,"44483",404234.155,114648.933,403.234,,15,"1","0","17",427.763061523438
E07-151,"44547",404261.923,114666.151,406.922,,16.7,"1","0","18",425.934967041016
E07-152,"44393",404282.986,114648.546,412.195,,17,"1","0","20",428.927795410156
E07-152A,"44483",404309.261,114639.948,412.418,,11.5,"1","0","13",429.755157470703
E07-153,"44546",404304.961,114671.107,406.324,,15,"1","0","18",424.093597412109
E07-153A,"44483",404329.944,114660.095,411.134,,10,"1","0","12",425.861328125
E07-154,"44393",404333.841,114647.3,413.229,,15,"1","0","18",428.650054931641
E07-154A,"44483",404355.574,114645.938,413.87,,9.35,"1","0","13",427.276824951172
E07-155,"44546",404354.412,114666.86,411.211,,9,"1","0","11",424.8251953125
E07-156A,"44393",404376.734,114648.166,404.012,,12,"1","0","12",425.107391357422
E07-157,"44546",404404.584,114657.834,394.849,,7.3,"1","0","9",418.723510742188
E07-158,"44395",404432.509,114657.338,396.543,,12.8,"1","0","20",415.651733398438
E07-159,"44546",404451.652,114675.756,392.535,,3,"1","0","3",410.961364746094
E07-160,"44395",404469.315,114651.815,386.485,,9.3,"1","0","12",409.705596923828
E07-181,"44545",404203.963,114626.994,416.738,,6,"1","0","7",433.406402587891
E07-182,"44483",404229.539,114595.908,417.167,,7,"1","0","7",440.241333007812
E07-183,"44547",404241.014,114619.257,407.437,,11,"1","0","11",433.914306640625
E07-183B,"44393",404272.94,114622.416,414.415,,17,"1","0","17",432.772155761719
E07-184,"44396",404283.995,114595.67,420.912,,14,"1","0","15",435.578582763672
E07-185,"44546",404318.687,114621.114,417.536,,8,"1","0","8",431.872375488281
E07-186,"44393",404325.749,114589.573,416.079,,14,"1","0","17",436.234527587891
E07-186A,"44483",404344.802,114608.778,416.16,,13,"1","0","14",433.238006591797
E07-187,"44546",404343.626,114626.138,415.368,,10,"1","0","10",431.704376220703
E07-188,"44395",404382.736,114599.449,411.011,,13,"1","0","14",431.828552246094
E07-189,"44546",404405.117,114618.234,409.584,,10,"1","0","11",426.650512695312
E07-190,"44395",404424.711,114604.512,412.529,,20,"1","0","26",428.158142089844
E07-191,"44547",404446.921,114622.855,405.294,,9,"1","0","9",421.336486816406
E07-192,"44396",404479.165,114602.542,392.783,,10,"1","0","11",419.330383300781
E07-215,"44546",404256.023,114572.905,426.216,,12.25,"1","0","14",444.552429199219
E07-216,"44483",404279.397,114543.985,436.983,,8.4,"1","0","10",449.879425048828
E07-217,"44546",404301.282,114566.424,427.371,,7,"1","0","7",442.258361816406
E07-219,"44546",404348.635,114565.404,415.575,,9,"1","0","9",438.556579589844
E07-220,"44483",404374.756,114539.505,427.436,,8,"1","0","8",444.872833251953
E07-221,"44546",404402.256,114566.375,418.824,,6,"1","0","9",436.768096923828
E07-222,"44396",404436.52,114549.223,410.055,,7.5,"1","0","8",435.206756591797
E07-223,"44547",404454.042,114564.828,408.968,,7,"1","0","7",429.7490234375
E07-224,"44395",404478.58,114553.355,412.94,,12,"1","0","14",428.572143554688
E07-245,"44317",404205.087,114523.952,463.817,,7.6,"1","0","10",473.27294921875
E07-249,"44255",404295.97,114526.233,439.577,,9,"1","0","9",454.134948730469
E07-250,"44483",404335.048,114493.457,444.005,,8,"1","0","10",461.423919677734
E07-251,"44255",404367.512,114520.598,433.575,,4,"1","0","4",449.209686279297
E07-252,"44483",404384.318,114497.4,438.546,,10,"1","0","12",455.766387939453
E07-253,"44255",404397.247,114519.047,424.943,,8,"1","0","8",446.992462158203
E07-255,"44255",404456.57,114528.277,425.811,,10,"1","0","10",434.896148681641
E08-017,"44318",404105.843,114472.053,480.323,,16,"1","0","23",485.932830810547
E08-019,"44318",404166.021,114471.384,482.353,,16.5,"1","0","23",491.914978027344
E08-021,"44317",404203.157,114475.51,481.967,,14.25,"1","0","16",494.0771484375
E08-049,"44318",404102.655,114419.963,493.821,,12,"1","0","13",501.902282714844
E08-051,"44318",404163.211,114430.671,497.381,,15,"1","0","19",506.543487548828
E08-053,"44317",404206.762,114417.287,495.763,,21,"1","0","30",511.328521728516
E08-055,"44317",404246.651,114417.947,490.216,,16,"1","0","21",506.412261962891
E08-081,"44318",404107.593,114373.243,503.433,,24,"1","0","30",517.719909667969
E08-083,"44318",404164.049,114377.331,511.578,,12,"1","0","15",522.059936523438
E08-085,"44317",404204.111,114371.364,509.516,,21,"1","0","24",523.855773925781
E08-087,"44317",404242.884,114364.857,504.449,,8.7,"1","0","9",520.36865234375
E08-093,"44393",404412.196,114368.233,487.859,,10,"1","0","18",495.323364257812
