sample_id;hole_id;depth_from;depth_to;core_length;cr_%;is_old;is_twin;ni;fe;mgo;sio2;sm;co;cao;al2o3;lith
B1/E07-017/JAS/01;E07-017;0;1;1;1;1;0;1.14;38.67;2.32;24.15;10.40948276;0.02;0.07;11.94;LIM
B1/E07-017/JAS/02;E07-017;1;1.5;0.5;1;1;0;2.08;12.78;20;38.1;1.905;0.04;0.12;2.36;SAP
B1/E07-017/JAS/03;E07-017;1.5;2;0.5;1;1;0;1.92;10.29;23.33;38.8;1.663094728;0.02;0.12;1.55;SAP
B1/E07-017/JAS/04;E07-017;2;3;1;1;1;0;2.02;8.33;25.16;39.49;1.569554849;0.01;0.14;0.97;SAP
B1/E07-017/JAS/05;E07-017;3;3.4;0.4;1;1;0;2.13;7.18;26.8;39.61;1.477985075;0.01;0.13;0.92;RSAP
B1/E07-017/JAS/06;E07-017;3.4;4;0.6;1;1;0;1.91;7.83;25.97;40.76;1.569503273;0.01;0.1;0.8;SAP
B1/E07-017/JAS/07;E07-017;4;5;1;1;1;0;1.75;10.04;24.2;39.46;1.630578512;0.02;0.1;0.95;SAP
B1/E07-017/JAS/08;E07-017;5;6;1;1;1;0;1.25;7.78;25.91;43.82;1.691238904;0.01;0.11;0.68;RSAP
B1/E07-017/JAS/09;E07-017;6;7;1;1;1;0;0.96;9.89;21.83;43.22;1.979844251;0.01;0.12;0.58;RSAP
B1/E07-017/JAS/10;E07-017;7;8;1;1;1;0;1.51;12.04;21.13;38.88;1.840037861;0.02;0.11;0.74;SAP
B1/E07-017/JAS/11;E07-017;8;9;1;1;1;0;1.68;11.47;21.18;38.87;1.835221907;0.02;0.16;0.88;SAP
B1/E07-017/JAS/12;E07-017;9;10;1;1;1;0;1.71;10.8;22.59;38.86;1.72023019;0.02;0.15;0.84;SAP
B1/E07-017/JAS/13;E07-017;10;11;1;1;1;0;2.27;7.79;25.86;39.32;1.520494973;0.01;0.12;0.91;SAP
B1/E07-017/JAS/14;E07-017;11;12;1;1;1;0;2.09;7.14;27.25;39.75;1.458715596;0.01;0.11;0.77;SAP
B1/E07-017/JAS/15;E07-017;12;13;1;1;1;0;1.49;9.94;23.87;39.58;1.658148303;0.02;0.16;0.85;SAP
B1/E07-017/JAS/16;E07-017;13;14;1;1;1;0;1.59;8.89;24.88;40.11;1.612138264;0.01;0.19;0.74;SAP
B1/E07-017/JAS/17;E07-017;14;15;1;1;1;0;1.67;6.86;27.37;40.68;1.486298867;0;0.14;0.74;SROC
B1/E07-017/JAS/18;E07-017;15;16;1;1;1;0;1.75;8.01;25.98;39.87;1.534642032;0.01;0.15;0.73;SROC
B1/E07-018/JAS/01;E07-018;0;0.6;0.6;1;1;0;0.68;35.53;14.37;27.85;1.938065414;0.06;0;4.81;LIM
B1/E07-018/JAS/02;E07-018;0.6;1;0.4;1;1;0;1.07;12.57;29.93;39.12;1.307049783;0.03;0.09;2.97;SAP
B1/E07-018/JAS/03;E07-018;1;2;1;1;1;0;1.48;10.13;32.91;39.49;1.199939228;0.02;0.11;2.25;SAP
B1/E07-018/JAS/04;E07-018;2;3;0.7;0.7;1;0;1.69;10.28;31.53;37.08;1.176022835;0.03;0.06;1.63;SAP
B1/E07-018/JAS/05;E07-018;3;4;1;1;1;0;1.79;10.55;31.39;37.42;1.192099395;0.03;0.08;1.65;SAP
B1/E07-018/JAS/06;E07-018;4;5;1;1;1;0;1.58;8.4;33.2;39.67;1.194879518;0.02;0.11;1.18;SAP
B1/E07-018/JAS/07;E07-018;5;6;1;1;1;0;1.64;10.2;29.06;38.93;1.33964212;0.02;0.1;1.08;SAP
B1/E07-018/JAS/08;E07-018;6;7;1;1;1;0;1.43;8.54;31.31;40.37;1.28936442;0.02;0.1;1.11;SAP
B1/E07-018/JAS/09;E07-018;7;8;1;1;1;0;1.06;12.51;25.01;40.18;1.606557377;0.03;0.11;1.25;SAP
B1/E07-018/JAS/10;E07-018;8;9;1;1;1;0;0.83;8.77;30.69;41.68;1.3580971;0.01;0.13;0.88;RSAP
B1/E07-018/JAS/11;E07-018;9;10;1;1;1;0;0.97;7.37;35.07;41.98;1.197034502;0.01;0.13;1.12;RSAP
B1/E07-018/JAS/12;E07-018;10;11;1;1;1;0;0.74;7.77;34.03;41.44;1.217749045;0.01;0.11;0.84;RSAP
B1/E07-018/JAS/13;E07-018;11;12;1;1;1;0;0.47;7.31;36.17;42.43;1.173071606;0.01;0.15;1.12;RSAP
B1/E07-018/JAS/14;E07-018;12;12.6;0.6;1;1;0;0.33;6.53;37.87;41.52;1.096382361;0;0.17;0.67;BLD
B1/E07-018/JAS/15;E07-018;12.6;13;0.4;1;1;0;0.37;6.8;36.01;42.17;1.171063593;0;0.17;0.72;RSAP
B1/E07-018/JAS/16;E07-018;13;13.2;0.2;1;1;0;0.57;6.9;35.78;42.82;1.196757965;0;0.15;0.75;BLD
B1/E07-018/JAS/17;E07-018;13.2;14;0.8;1;1;0;0.35;6.69;36.18;42.57;1.176616915;0.01;0.16;0.67;RSAP
B1/E07-018/JAS/18;E07-018;14;15;1;1;1;0;0.34;6.66;36.79;43.14;1.17260125;0;0.13;0.81;RSAP
B1/E07-018/JAS/19;E07-018;15;16;1;1;1;0;0.33;6.94;35.96;42.51;1.18214683;0;0.15;0.7;RSAP
B1/E07-018/JAS/20;E07-018;16;17;1;1;1;0;0.43;6.63;36.38;43.63;1.199285322;0.01;0.21;0.9;RSAP
B1/E07-018/JAS/21;E07-018;17;18;1;1;1;0;0.43;6.24;36.64;43.09;1.176037118;0;0.16;0.78;RSAP
B1/E07-018/JAS/22;E07-018;18;19;1;1;1;0;0.36;6.73;36.37;43.3;1.190541655;0.01;0.13;0.77;RSAP
B1/E07-018/JAS/23;E07-018;19;20;1;1;1;0;0.36;7.33;35.92;42.54;1.184298441;0.01;0.13;0.86;RSAP
B1/E07-018/JAS/24;E07-018;20;21;1;1;1;0;0.31;6.41;37.18;43.65;1.174018289;0;0.14;0.79;RSAP
B1/E07-018/JAS/25;E07-018;21;22;1;1;1;0;0.3;6.16;36.88;44.64;1.210412148;0;0.21;0.75;RSAP
B1/E07-018/JAS/26;E07-018;22;23;1;1;1;0;0.33;6.55;37.17;43.38;1.167070218;0;0.17;0.95;RSAP
B1/E07-018/JAS/27;E07-018;23;24;1;1;1;0;0.39;7.74;36.07;42.2;1.169947325;0.01;0.11;0.75;RSAP
B1/E07-018/JAS/28;E07-018;24;25;1;1;1;0;0.46;5.92;38.73;42.46;1.096307772;0;0.22;0.73;BLD
B1/E07-018/JAS/29;E07-018;25;26;1;1;1;0;0.86;9.63;30.94;40.89;1.321590175;0.02;0.23;0.98;RSAP
B1/E07-018/JAS/30;E07-018;26;27;0.9;0.9;1;0;1.39;5.93;33.66;44;1.307189542;0;0.16;0.67;RSAP
B1/E07-018/JAS/31;E07-018;27;28;0.8;0.8;1;0;1.05;3.72;32.87;53.92;1.640401582;0;0.18;0.5;RSAP
B1/E07-018/JAS/32;E07-018;28;28.8;0.8;1;1;0;1.59;5.77;32.89;46.24;1.405898449;0;0.31;1.15;RSAP
