sample_id,hole_id,depth_from,depth_to,core_length,cr_%,ni,fe,mgo,sio2
B1/E07-017/JAS/01,E07-017,0,1,1,1,1.14,38.67,2.32,24.15
B1/E07-017/JAS/02,E07-017,1,1.5,0.5,1,2.08,12.78,20,38.1
B1/E07-017/JAS/03,E07-017,1.5,2,0.5,1,1.92,10.29,23.33,38.8
B1/E07-017/JAS/04,E07-017,2,3,1,1,2.02,8.33,25.16,39.49
B1/E07-017/JAS/05,E07-017,3,3.4,0.4,1,2.13,7.18,26.8,39.61
B1/E07-017/JAS/06,E07-017,3.4,4,0.6,1,1.91,7.83,25.97,40.76
B1/E07-017/JAS/07,E07-017,4,5,1,1,1.75,10.04,24.2,39.46
B1/E07-017/JAS/08,E07-017,5,6,1,1,1.25,7.78,25.91,43.82
B1/E07-017/JAS/09,E07-017,6,7,1,1,0.96,9.89,21.83,43.22
B1/E07-017/JAS/10,E07-017,7,8,1,1,1.51,12.04,21.13,38.88
B1/E07-017/JAS/11,E07-017,8,9,1,1,1.68,11.47,21.18,38.87
B1/E07-017/JAS/12,E07-017,9,10,1,1,1.71,10.8,22.59,38.86
B1/E07-017/JAS/13,E07-017,10,11,1,1,2.27,7.79,25.86,39.32
B1/E07-017/JAS/14,E07-017,11,12,1,1,2.09,7.14,27.25,39.75
B1/E07-017/JAS/15,E07-017,12,13,1,1,1.49,9.94,23.87,39.58
B1/E07-017/JAS/16,E07-017,13,14,1,1,1.59,8.89,24.88,40.11
B1/E07-017/JAS/17,E07-017,14,15,1,1,1.67,6.86,27.37,40.68
B1/E07-017/JAS/18,E07-017,15,16,1,1,1.75,8.01,25.98,39.87
B1/E07-018/JAS/01,E07-018,0,0.6,0.6,1,0.68,35.53,14.37,27.85
B1/E07-018/JAS/02,E07-018,0.6,1,0.4,1,1.07,12.57,29.93,39.12
B1/E07-018/JAS/03,E07-018,1,2,1,1,1.48,10.13,32.91,39.49
B1/E07-018/JAS/04,E07-018,2,3,0.7,0.7,1.69,10.28,31.53,37.08
B1/E07-018/JAS/05,E07-018,3,4,1,1,1.79,10.55,31.39,37.42
B1/E07-018/JAS/06,E07-018,4,5,1,1,1.58,8.4,33.2,39.67
B1/E07-018/JAS/07,E07-018,5,6,1,1,1.64,10.2,29.06,38.93
B1/E07-018/JAS/08,E07-018,6,7,1,1,1.43,8.54,31.31,40.37
B1/E07-018/JAS/09,E07-018,7,8,1,1,1.06,12.51,25.01,40.18
B1/E07-018/JAS/10,E07-018,8,9,1,1,0.83,8.77,30.69,41.68
B1/E07-018/JAS/11,E07-018,9,10,1,1,0.97,7.37,35.07,41.98
B1/E07-018/JAS/12,E07-018,10,11,1,1,0.74,7.77,34.03,41.44
B1/E07-018/JAS/13,E07-018,11,12,1,1,0.47,7.31,36.17,42.43
B1/E07-018/JAS/14,E07-018,12,12.6,0.6,1,0.33,6.53,37.87,41.52
B1/E07-018/JAS/15,E07-018,12.6,13,0.4,1,0.37,6.8,36.01,42.17
B1/E07-018/JAS/16,E07-018,13,13.2,0.2,1,0.57,6.9,35.78,42.82
B1/E07-018/JAS/17,E07-018,13.2,14,0.8,1,0.35,6.69,36.18,42.57
B1/E07-018/JAS/18,E07-018,14,15,1,1,0.34,6.66,36.79,43.14
B1/E07-018/JAS/19,E07-018,15,16,1,1,0.33,6.94,35.96,42.51
B1/E07-018/JAS/20,E07-018,16,17,1,1,0.43,6.63,36.38,43.63
B1/E07-018/JAS/21,E07-018,17,18,1,1,0.43,6.24,36.64,43.09
B1/E07-018/JAS/22,E07-018,18,19,1,1,0.36,6.73,36.37,43.3
B1/E07-018/JAS/23,E07-018,19,20,1,1,0.36,7.33,35.92,42.54
B1/E07-018/JAS/24,E07-018,20,21,1,1,0.31,6.41,37.18,43.65
B1/E07-018/JAS/25,E07-018,21,22,1,1,0.3,6.16,36.88,44.64
B1/E07-018/JAS/26,E07-018,22,23,1,1,0.33,6.55,37.17,43.38
B1/E07-018/JAS/27,E07-018,23,24,1,1,0.39,7.74,36.07,42.2
B1/E07-018/JAS/28,E07-018,24,25,1,1,0.46,5.92,38.73,42.46
B1/E07-018/JAS/29,E07-018,25,26,1,1,0.86,9.63,30.94,40.89
B1/E07-018/JAS/30,E07-018,26,27,0.9,0.9,1.39,5.93,33.66,44
B1/E07-018/JAS/31,E07-018,27,28,0.8,0.8,1.05,3.72,32.87,53.92
B1/E07-018/JAS/32,E07-018,28,28.8,0.8,1,1.59,5.77,32.89,46.24
B1/E07-018/JAS/33,E07-018,28.8,29.2,0.4,1,1.32,2.26,33.22,55.13
B1/E07-018/JAS/34,E07-018,29.2,30,0.8,1,0.84,3.48,33.08,57.43
B1/E07-019/JAS/01,E07-019,0,1,1,1,0.81,35.34,2.19,26.84
B1/E07-019/JAS/02,E07-019,1,2,1,1,1.34,39.35,3.76,25.69
B1/E07-019/JAS/03,E07-019,2,3,1,1,1.08,19.69,18.09,36.41
B1/E07-019/JAS/04,E07-019,3,4,0.5,0.5,1.63,15.78,21.57,35.64
B1/E07-019/JAS/05,E07-019,4,5,1,1,1.23,12.07,27.06,37.36
B1/E07-019/JAS/06,E07-019,5,6,1,1,1.43,9.24,32.31,39.06
B1/E07-019/JAS/07,E07-019,6,7,1,1,1.46,9.56,31.42,39.25
B1/E07-019/JAS/08,E07-019,7,8,1,1,1.88,13.86,24.18,36.07
B1/E07-019/JAS/09,E07-019,8,9,1,1,1.98,7.82,32.47,41.02
B1/E07-019/JAS/10,E07-019,9,10,1,1,2.08,7.79,30.97,41.55
B1/E07-019/JAS/11,E07-019,10,11,1,1,2.02,8.93,30.73,40.03
B1/E07-019/JAS/12,E07-019,11,12,1,1,2.2,9.69,28.61,40.29
B1/E07-019/JAS/13,E07-019,12,13,1,1,2.17,9.28,31.8,41.88
B1/E07-019/JAS/14,E07-019,13,14,1,1,1.68,7.98,32.06,43.91
B1/E07-019/JAS/15,E07-019,14,15,1,1,1,7.4,32.08,43.75
B1/E07-019/JAS/16,E07-019,15,16,1,1,1,7.4,32.08,43.75
B1/E07-020/JAS/01,E07-020,0,1,0.9,0.9,0.62,35.06,10.97,27.13
B1/E07-020/JAS/02,E07-020,1,1.3,0.3,1,1.38,23.43,11.58,33.83
B1/E07-020/JAS/03,E07-020,1.3,2,0.6,0.857142857,1.93,10.72,26.96,38.57
B1/E07-020/JAS/04,E07-020,2,3,1,1,2.15,11.07,25,39.25
B1/E07-020/JAS/05,E07-020,3,4,1,1,2.15,10.64,26.62,39.12
B1/E07-020/JAS/06,E07-020,4,5,1,1,2.2,13.25,22.36,39.29
B1/E07-020/JAS/07,E07-020,5,6,1,1,1.9,9.11,28.76,41.39
B1/E07-020/JAS/08,E07-020,6,7,1,1,1.55,7.7,31.45,40.03
B1/E07-020/JAS/09,E07-020,7,7.3,0.3,1,0.76,8.36,32.71,39.51
B1/E07-020/JAS/10,E07-020,7.3,7.5,0.2,1,0.42,6.33,37.7,39.78
B1/E07-020/JAS/11,E07-020,7.5,7.8,0.3,1,0.85,8.2,33.25,39.33
B1/E07-020/JAS/12,E07-020,7.8,8.2,0.4,1,0.83,6.72,33.92,40.51
B1/E07-020/JAS/13,E07-020,8.2,8.6,0.4,1,0.4,7.28,32.32,44.39
B1/E07-020/JAS/14,E07-020,8.6,9.6,1,1,0.68,6.39,35.87,42.12
B1/E07-020/JAS/15,E07-020,9.6,10.5,0.9,1,0.32,5.93,38.51,41.5
B1/E07-021/JAS/01,E07-021,0,1,1,1,0.92,42.47,0.22,22.03
B1/E07-021/JAS/02,E07-021,1,2,1,1,1.14,46.41,0.23,25.47
B1/E07-021/JAS/03,E07-021,2,3,1,1,0.89,41.48,0.56,28.09
B1/E07-021/JAS/04,E07-021,3,4,1,1,0.92,44.97,0.32,25.78
