hole_id,date,easting_x,northing_y,elevation,eoh,inc_samp
E07-017,44545,404120.68,114875.1,375.571,16,18
E07-018,44394,404127.929,114849.522,383.153,30,34
E07-019,44545,404157.778,114865.303,371.663,16,16
E07-020,44394,404170.353,114853.791,371.346,10.5,15
E07-021,44545,404208.368,114873.263,376.459,19.5,21
E07-022,44394,404228.576,114850.246,379.633,30,34
E07-023,44545,404255.964,114874.813,373.679,7.5,8
E07-024A,44394,404279.97,114846.744,378.937,18,26
E07-025,44546,404307.925,114873.409,364.991,15,15
E07-026,44394,404325.438,114844.589,374.078,12,15
E07-027,44546,404338.767,114857.638,374.033,8,11
E07-028,44394,404384.812,114845.663,364.724,7.5,10
E07-029,44248,404408.355,114875.499,371.605,13.5,15
E07-030,44394,404430.252,114855.836,377.324,22.5,30
E07-031,44248,404456.433,114874.865,373.35,20,20
E07-032,44394,404473.394,114850.339,374.15,15,20
E07-049,44545,404106.148,114827.2,390.692,7,7
E07-050,44394,404137.515,114791.524,391.395,15,20
E07-051,44545,404159.632,114821.507,382.114,18,19
E07-052,44394,404177.513,114800.723,382.523,26.5,31
E07-053,44545,404205.883,114824.213,379.131,14,14
E07-053B,44545,404221.582,114832.163,381.769,22.5,26
E07-054,44394,404228.224,114802.139,385.062,19.5,20
E07-055,44545,404254.834,114827.12,383.952,12.35,16
E07-056,44393,404281.732,114799.883,389.997,15,21
E07-057,44546,404303.045,114824.195,383.601,16.5,19
E07-058,44393,404329.817,114800.75,384.687,15.4,22
E07-059,44546,404356.463,114825.73,377.413,8,8
E07-060,44256,404379.811,114801.933,372.724,2,3
E07-061,44546,404406.005,114821.934,384.644,7,7
E07-062,44394,404424.054,114796.952,387.493,19.5,24
E07-063,44255,404455.233,114828.421,380.579,11,12
E07-064,44394,404483.288,114793.316,370.002,18,23
E07-081,44545,404120.924,114787.751,393.183,12.2,15
E07-082,44393,404126.549,114748.907,394.741,23.5,28
E07-084,44394,404175.657,114736.058,384.897,8.5,10
E07-085,44545,404191.867,114768.399,387.83,17,19
E07-086,44393,404232.906,114752.227,386.708,12,12
E07-087,44546,404259.416,114772.147,395.878,14,16
E07-088,44256,404284.381,114751.692,396.106,9.6,11
E07-089,44546,404306.362,114776.408,394.348,9.7,12
E07-090,44393,404323.848,114747.63,393.36,19.5,24
E07-091,44546,404357.978,114775.569,384.086,4,6
E07-092,44396,404378.139,114749.55,381.962,9,12
E07-093,44546,404408.617,114775.195,387.285,10,12
E07-094,44394,404434.72,114743.826,387.744,13,17
E07-095,44255,404456.794,114776.349,380.365,12.3,14
E07-096,44394,404477.406,114744.836,384.46,15,26
E07-113,44545,404111.353,114723.646,394.721,15.5,19
E07-114,44393,404136.828,114694.848,402.466,25,30
E07-115,44545,404155.492,114718.396,394.812,15,16
E07-116,44393,404177.44,114695.978,400.639,13.5,15
E07-117,44545,404216.538,114722.484,400.202,7,8
E07-118,44256,404233.773,114703.355,400.615,20.5,23
E07-118B,44483,404237.632,114676.901,402.131,22,26
E07-119,44547,404256.952,114725.11,398.368,10,10
E07-120,44256,404276.697,114701.986,401.58,15,15
E07-120B,44396,404275.949,114681.072,405.194,30,36
E07-121,44546,404307.26,114724.407,400.654,15.5,18
E07-122,44393,404323.415,114694.131,401.678,9,9
E07-123,44256,404356.601,114719.949,393.702,9.5,12
E07-124,44395,404394.225,114690.614,390.533,12,15
E07-125,44256,404406.808,114741.65,388.867,4,5
E07-126,44394,404424.737,114700.972,386.827,15,18
E07-127,44255,404459.75,114728.469,390.24,4.3,5
E07-128,44395,404478.626,114697.268,384.02,12,15
E07-145,44545,404100.36,114676.775,405.087,7,9
E07-146,44393,404122.818,114644.39,415.127,6,6
E07-147,44545,404148.016,114671.505,409.086,8.35,10
E07-148,44393,404186.589,114645.127,414.725,5,5
E07-149,44545,404199.419,114666.811,407.832,11,12
E07-150,44483,404234.155,114648.933,403.234,15,17
E07-151,44547,404261.923,114666.151,406.922,16.7,18
E07-152,44393,404282.986,114648.546,412.195,17,20
E07-152A,44483,404309.261,114639.948,412.418,11.5,13
E07-153,44546,404304.961,114671.107,406.324,15,18
E07-153A,44483,404329.944,114660.095,411.134,10,12
E07-154,44393,404333.841,114647.3,413.229,15,18
E07-154A,44483,404355.574,114645.938,413.87,9.35,13
E07-155,44546,404354.412,114666.86,411.211,9,11
E07-156A,44393,404376.734,114648.166,404.012,12,12
E07-157,44546,404404.584,114657.834,394.849,7.3,9
E07-158,44395,404432.509,114657.338,396.543,12.8,20
E07-159,44546,404451.652,114675.756,392.535,3,3
E07-160,44395,404469.315,114651.815,386.485,9.3,12
E07-181,44545,404203.963,114626.994,416.738,6,7
E07-182,44483,404229.539,114595.908,417.167,7,7
