sample_id,hole_id,depth_from,depth_to,core_length,cr_%,lith
B1/E07-017/JAS/01,E07-017,0,1,1,1,LIM
B1/E07-017/JAS/02,E07-017,1,1.5,0.5,1,SAP
B1/E07-017/JAS/03,E07-017,1.5,2,0.5,1,SAP
B1/E07-017/JAS/04,E07-017,2,3,1,1,SAP
B1/E07-017/JAS/05,E07-017,3,3.4,0.4,1,RSAP
B1/E07-017/JAS/06,E07-017,3.4,4,0.6,1,SAP
B1/E07-017/JAS/07,E07-017,4,5,1,1,SAP
B1/E07-017/JAS/08,E07-017,5,6,1,1,RSAP
B1/E07-017/JAS/09,E07-017,6,7,1,1,RSAP
B1/E07-017/JAS/10,E07-017,7,8,1,1,SAP
B1/E07-017/JAS/11,E07-017,8,9,1,1,SAP
B1/E07-017/JAS/12,E07-017,9,10,1,1,SAP
B1/E07-017/JAS/13,E07-017,10,11,1,1,SAP
B1/E07-017/JAS/14,E07-017,11,12,1,1,SAP
B1/E07-017/JAS/15,E07-017,12,13,1,1,SAP
B1/E07-017/JAS/16,E07-017,13,14,1,1,SAP
B1/E07-017/JAS/17,E07-017,14,15,1,1,SROC
B1/E07-017/JAS/18,E07-017,15,16,1,1,SROC
B1/E07-018/JAS/01,E07-018,0,0.6,0.6,1,LIM
B1/E07-018/JAS/02,E07-018,0.6,1,0.4,1,SAP
B1/E07-018/JAS/03,E07-018,1,2,1,1,SAP
B1/E07-018/JAS/04,E07-018,2,3,0.7,0.7,SAP
B1/E07-018/JAS/05,E07-018,3,4,1,1,SAP
B1/E07-018/JAS/06,E07-018,4,5,1,1,SAP
B1/E07-018/JAS/07,E07-018,5,6,1,1,SAP
B1/E07-018/JAS/08,E07-018,6,7,1,1,SAP
B1/E07-018/JAS/09,E07-018,7,8,1,1,SAP
B1/E07-018/JAS/10,E07-018,8,9,1,1,RSAP
B1/E07-018/JAS/11,E07-018,9,10,1,1,RSAP
B1/E07-018/JAS/12,E07-018,10,11,1,1,RSAP
B1/E07-018/JAS/13,E07-018,11,12,1,1,RSAP
B1/E07-018/JAS/14,E07-018,12,12.6,0.6,1,BLD
B1/E07-018/JAS/15,E07-018,12.6,13,0.4,1,RSAP
B1/E07-018/JAS/16,E07-018,13,13.2,0.2,1,BLD
B1/E07-018/JAS/17,E07-018,13.2,14,0.8,1,RSAP
B1/E07-018/JAS/18,E07-018,14,15,1,1,RSAP
B1/E07-018/JAS/19,E07-018,15,16,1,1,RSAP
B1/E07-018/JAS/20,E07-018,16,17,1,1,RSAP
B1/E07-018/JAS/21,E07-018,17,18,1,1,RSAP
B1/E07-018/JAS/22,E07-018,18,19,1,1,RSAP
B1/E07-018/JAS/23,E07-018,19,20,1,1,RSAP
B1/E07-018/JAS/24,E07-018,20,21,1,1,RSAP
B1/E07-018/JAS/25,E07-018,21,22,1,1,RSAP
B1/E07-018/JAS/26,E07-018,22,23,1,1,RSAP
B1/E07-018/JAS/27,E07-018,23,24,1,1,RSAP
B1/E07-018/JAS/28,E07-018,24,25,1,1,BLD
B1/E07-018/JAS/29,E07-018,25,26,1,1,RSAP
B1/E07-018/JAS/30,E07-018,26,27,0.9,0.9,RSAP
B1/E07-018/JAS/31,E07-018,27,28,0.8,0.8,RSAP
B1/E07-018/JAS/32,E07-018,28,28.8,0.8,1,RSAP
B1/E07-018/JAS/33,E07-018,28.8,29.2,0.4,1,RSAP
B1/E07-018/JAS/34,E07-018,29.2,30,0.8,1,RSAP
B1/E07-019/JAS/01,E07-019,0,1,1,1,LIM
B1/E07-019/JAS/02,E07-019,1,2,1,1,LIM
B1/E07-019/JAS/03,E07-019,2,3,1,1,SAP
B1/E07-019/JAS/04,E07-019,3,4,0.5,0.5,SAP
B1/E07-019/JAS/05,E07-019,4,5,1,1,SAP
B1/E07-019/JAS/06,E07-019,5,6,1,1,SAP
B1/E07-019/JAS/07,E07-019,6,7,1,1,SAP
B1/E07-019/JAS/08,E07-019,7,8,1,1,SAP
B1/E07-019/JAS/09,E07-019,8,9,1,1,SAP
B1/E07-019/JAS/10,E07-019,9,10,1,1,SAP
B1/E07-019/JAS/11,E07-019,10,11,1,1,SAP
B1/E07-019/JAS/12,E07-019,11,12,1,1,SAP
B1/E07-019/JAS/13,E07-019,12,13,1,1,SAP
B1/E07-019/JAS/14,E07-019,13,14,1,1,RSAP
B1/E07-019/JAS/15,E07-019,14,15,1,1,BRK
