sample_id,hole_id,depth_from,depth_to,core_length,cr_%,ni,fe,mgo,sio2,invalid_interval,overlap,ni_unrealistic,fe_unrealistic,mgo_unrealistic,issue_column,sio2_unrealistic
B1/E07-026/JAS/03,E07-026,1.3,2.12,0.82,1,0.17,5.93,44.82,87.8,False,False,False,False,True,mgo,
B1/E07-026/JAS/05,E07-026,3.0,4.0,1.0,1,0.64,7.17,45.66,44.3,False,False,False,False,True,mgo,
B1/E07-026/JAS/09,E07-026,6.25,7.0,0.75,1,0.22,5.3,55.25,43.58,False,False,False,False,True,mgo,
B1/E07-026/JAS/10,E07-026,7.0,8.0,1.0,1,0.26,5.79,42.67,42.59,False,False,False,False,True,mgo,
B1/E07-026/JAS/11,E07-026,8.0,9.0,1.0,1,0.24,5.51,40.95,43.07,False,False,False,False,True,mgo,
B1/E07-026/JAS/14,E07-026,10.0,11.0,1.0,1,0.25,5.49,40.03,41.36,False,False,False,False,True,mgo,
B1/E07-030/JAS/29,E07-030,21.65,22.1,0.45,1,0.27,5.67,40.54,43.56,False,False,False,False,True,mgo,
B1/E07-030/JAS/30,E07-030,22.1,22.5,0.4,1,0.27,5.67,40.54,43.56,False,False,False,False,True,mgo,
B1/E07-050/JAS/19,E07-050,13.24,14.0,0.76,1,0.27,5.49,41.38,39.9,False,False,False,False,True,mgo,
B1/E07-050/JAS/20,E07-050,14.0,15.0,1.0,1,0.28,6.58,40.97,39.44,False,False,False,False,True,mgo,
B1/E07-054/JAS/19,E07-054,18.0,19.0,1.0,1,0.26,5.27,41.09,42.67,False,False,False,False,True,mgo,
B1/E07-054/JAS/20,E07-054,19.0,19.5,0.5,1,0.27,5.26,40.64,42.82,False,False,False,False,True,mgo,
B1/E07-058/JAS/17,E07-058,10.0,11.0,1.0,1,0.24,5.18,40.21,44.48,False,False,False,False,True,mgo,
B1/E07-060/JAS/02,E07-060,0.5,1.0,0.5,1,0.27,5.39,44.61,41.34,False,False,False,False,True,mgo,
B1/E07-060/JAS/03,E07-060,1.0,2.0,1.0,1,0.27,5.44,44.24,41.65,False,False,False,False,True,mgo,
B1/E07-062/JAS/04,E07-062,1.6,2.0,0.4,1,0.57,13.35,43.94,41.2,False,False,False,False,True,mgo,
B1/E07-062/JAS/13,E07-062,9.0,10.0,1.0,1,0.3,5.26,40.17,40.81,False,False,False,False,True,mgo,
B1/E07-087/JAS/08,E07-087,6.6,7.16,0.56,1,0.42,6.46,40.46,39.67,False,False,False,False,True,mgo,
B1/E07-088/JAS/05,E07-088,4.0,5.0,1.0,1,1.07,10.06,41.48,40.24,False,False,False,False,True,mgo,
B1/E07-088/JAS/11,E07-088,8.7,9.6,0.9,1,0.46,6.03,41.56,41.06,False,False,False,False,True,mgo,
B1/E07-092/JAS/09,E07-092,5.0,6.0,1.0,1,0.28,6.02,46.87,43.83,False,False,False,False,True,mgo,
B1/E07-093/JAS/07,E07-093,5.46,6.0,0.54,1,0.56,7.52,43.38,41.57,False,False,False,False,True,mgo,
B1/E07-094/JAS/13,E07-094,9.0,10.0,1.0,1,0.28,6.29,42.24,43.76,False,False,False,False,True,mgo,
B1/E07-095/JAS/05,E07-095,4.0,4.6,0.6,1,0.56,6.02,40.2,41.24,False,False,False,False,True,mgo,
B1/E07-125/JAS/04,E07-125,2.0,3.0,1.0,1,0.32,6.36,42.73,41.32,False,False,False,False,True,mgo,
B1/E07-125/JAS/05,E07-125,3.0,4.0,1.0,1,0.32,6.36,42.73,41.32,False,False,False,False,True,mgo,
B1/E07-127/JAS/04,E07-127,2.5,3.5,1.0,1,0.47,5.99,40.92,41.14,False,False,False,False,True,mgo,
B1/E07-253/JAS/07,E07-253,6.0,7.0,1.0,1,0.3,6.5,40.16,44.8,False,False,False,False,True,mgo,
B1/E07-253/JAS/08,E07-253,7.0,8.0,1.0,1,0.27,5.9,41.94,45.38,False,False,False,False,True,mgo,
B1/E08-017/JAS/05,E08-017,2.5,2.8,0.3,1,0.26,5.4,41.7,42.37,False,False,False,False,True,mgo,
B1/E08-017/JAS/08,E08-017,4.0,5.0,1.0,1,0.26,5.59,41.8,43.56,False,False,False,False,True,mgo,
B1/E08-017/JAS/09,E08-017,5.0,6.0,1.0,1,0.26,5.79,40.37,44.39,False,False,False,False,True,mgo,
B1/E08-017/JAS/10,E08-017,6.0,6.79,0.79,1,0.23,5.34,43.45,46.33,False,False,False,False,True,mgo,
B1/E08-017/JAS/11,E08-017,6.79,7.0,0.21,1,0.24,5.81,40.47,44.79,False,False,False,False,True,mgo,
B1/E08-017/JAS/12,E08-017,7.0,7.18,0.18,1,0.24,4.91,42.8,43.55,False,False,False,False,True,mgo,
B1/E08-017/JAS/13,E08-017,7.18,8.0,0.82,1,0.25,5.34,42.34,44.06,False,False,False,False,True,mgo,
B1/E08-017/JAS/14,E08-017,8.0,9.0,1.0,1,0.22,4.92,41.73,44.61,False,False,False,False,True,mgo,
B1/E08-017/JAS/15,E08-017,9.0,9.47,0.47,1,0.24,5.19,41.04,45.29,False,False,False,False,True,mgo,
B1/E08-017/JAS/16,E08-017,9.47,9.74,0.27,1,0.24,5.14,42.92,41.64,False,False,False,False,True,mgo,
B1/E08-017/JAS/17,E08-017,9.74,10.0,0.26,1,0.26,5.58,41.45,43.56,False,False,False,False,True,mgo,
B1/E08-017/JAS/18,E08-017,10.0,11.0,1.0,1,0.25,5.32,41.4,44.41,False,False,False,False,True,mgo,
B1/E08-017/JAS/19,E08-017,11.0,12.0,1.0,1,0.24,5.14,41.82,43.26,False,False,False,False,True,mgo,
B1/E08-017/JAS/20,E08-017,12.0,13.0,1.0,1,0.23,5.11,42.61,43.6,False,False,False,False,True,mgo,
B1/E08-017/JAS/21,E08-017,13.0,14.0,1.0,1,0.23,5.04,41.33,43.91,False,False,False,False,True,mgo,
B1/E08-017/JAS/22,E08-017,14.0,15.0,1.0,1,0.25,5.13,40.79,44.34,False,False,False,False,True,mgo,
B1/E08-017/JAS/23,E08-017,15.0,15.6,0.6,1,0.24,4.59,44.05,43.93,False,False,False,False,True,mgo,
B1/E08-019/JAS/08,E08-019,6.79,7.0,0.21,1,0.26,5.5,41.35,41.9,False,False,False,False,True,mgo,
B1/E08-019/JAS/09,E08-019,7.0,8.0,1.0,1,0.27,6.01,40.08,42.77,False,False,False,False,True,mgo,
B1/E08-019/JAS/10,E08-019,8.0,9.0,1.0,1,0.27,5.97,40.43,42.64,False,False,False,False,True,mgo,
B1/E08-019/JAS/13,E08-019,10.0,11.0,1.0,1,0.29,6.32,42.3,42.77,False,False,False,False,True,mgo,
B1/E08-019/JAS/14,E08-019,11.0,11.23,0.23,1,0.28,5.86,40.07,43.21,False,False,False,False,True,mgo,
B1/E08-019/JAS/15,E08-019,11.23,12.0,0.77,1,0.26,5.6,40.41,42.09,False,False,False,False,True,mgo,
B1/E08-019/JAS/16,E08-019,12.0,13.0,0.5,0.5,0.26,5.56,41.14,42.12,False,False,False,False,True,mgo,
B1/E08-019/JAS/17,E08-019,13.0,14.0,1.0,1,0.27,5.65,40.95,43.89,False,False,False,False,True,mgo,
B1/E08-019/JAS/18,E08-019,14.0,15.0,1.0,1,0.26,5.29,41.63,43.74,False,False,False,False,True,mgo,
B1/E08-019/JAS/19,E08-019,15.0,15.42,0.42,1,0.25,5.28,43.87,42.39,False,False,False,False,True,mgo,
B1/E08-019/JAS/20,E08-019,15.42,15.7,0.28,1,0.3,5.38,40.68,42.65,False,False,False,False,True,mgo,
B1/E08-019/JAS/22,E08-019,16.0,16.24,0.24,1,0.33,5.77,40.72,43.14,False,False,False,False,True,mgo,
B1/E08-019/JAS/23,E08-019,16.24,16.5,0.26,1,0.33,5.77,40.72,43.14,False,False,False,False,True,mgo,
B1/E08-021/JAS/05,E08-021,3.0,4.0,1.0,1,0.43,6.41,40.69,43.9,False,False,False,False,True,mgo,
B1/E08-021/JAS/13,E08-021,11.0,12.0,1.0,1,0.28,6.02,40.6,42.68,False,False,False,False,True,mgo,
B1/E08-021/JAS/14,E08-021,12.0,13.0,1.0,1,0.28,5.61,40.67,42.69,False,False,False,False,True,mgo,
B1/E08-021/JAS/15,E08-021,13.0,14.0,1.0,1,0.28,5.61,40.67,42.69,False,False,False,False,True,mgo,
B1/E08-021/JAS/16,E08-021,14.0,14.25,0.25,1,0.28,5.61,40.67,42.69,False,False,False,False,True,mgo,
B1/E08-049/JAS/10,E08-049,8.0,9.0,1.0,1,0.24,5.23,42.05,42.6,False,False,False,False,True,mgo,
B1/E08-049/JAS/11,E08-049,9.0,10.0,1.0,1,0.24,5.19,42.26,42.93,False,False,False,False,True,mgo,
B1/E08-049/JAS/12,E08-049,10.0,11.0,1.0,1,0.25,5.45,41.23,42.48,False,False,False,False,True,mgo,
B1/E08-049/JAS/13,E08-049,11.0,12.0,1.0,1,0.25,5.45,41.23,42.48,False,False,False,False,True,mgo,
B1/E08-051/JAS/13,E08-051,10.0,11.0,1.0,1,0.28,5.69,41.03,44.31,False,False,False,False,True,mgo,
B1/E08-051/JAS/14,E08-051,11.0,12.0,1.0,1,0.28,5.51,41.44,44.4,False,False,False,False,True,mgo,
B1/E08-051/JAS/15,E08-051,12.0,12.4,0.4,1,0.29,5.85,40.67,42.5,False,False,False,False,True,mgo,
B1/E08-051/JAS/16,E08-051,12.4,13.0,0.6,1,0.39,5.65,40.99,43.49,False,False,False,False,True,mgo,
B1/E08-051/JAS/17,E08-051,13.0,13.5,0.5,1,0.35,5.72,42.23,42.6,False,False,False,False,True,mgo,
B1/E08-051/JAS/18,E08-051,13.5,14.0,0.5,1,0.25,5.43,45.2,42.9,False,False,False,False,True,mgo,
B1/E08-051/JAS/19,E08-051,14.0,15.0,1.0,1,0.24,5.26,49.3,42.87,False,False,False,False,True,mgo,
B1/E08-053/JAS/19,E08-053,12.0,13.0,1.0,1,0.26,6.17,44.31,46.39,False,False,False,False,True,mgo,
B1/E08-053/JAS/25,E08-053,17.0,17.57,0.57,1,0.25,5.25,40.58,45.75,False,False,False,False,True,mgo,
B1/E08-053/JAS/26,E08-053,17.57,18.0,0.43,1,0.25,5.28,41.36,44.37,False,False,False,False,True,mgo,
B1/E08-053/JAS/27,E08-053,18.0,18.5,0.5,1,0.25,5.31,40.11,45.79,False,False,False,False,True,mgo,
B1/E08-053/JAS/28,E08-053,18.5,19.0,0.5,1,0.26,5.28,43.89,42.33,False,False,False,False,True,mgo,
B1/E08-053/JAS/29,E08-053,19.0,20.0,1.0,1,0.25,5.24,42.46,45.34,False,False,False,False,True,mgo,
B1/E08-053/JAS/30,E08-053,20.0,21.0,1.0,1,0.23,4.87,41.42,47.59,False,False,False,False,True,mgo,
B1/E08-055/JAS/02,E08-055,0.74,1.0,0.26,1,0.42,5.99,40.7,41.79,False,False,False,False,True,mgo,
B1/E08-055/JAS/20,E08-055,15.0,15.6,0.6,1,0.25,5.37,41.41,42.31,False,False,False,False,True,mgo,
B1/E08-055/JAS/21,E08-055,15.6,16.0,0.4,1,0.26,5.64,40.41,43.28,False,False,False,False,True,mgo,
B1/E08-081/JAS/19,E08-081,15.74,16.0,0.26,1,0.25,5.58,41.37,41.98,False,False,False,False,True,mgo,
B1/E08-081/JAS/21,E08-081,17.0,18.0,1.0,1,0.27,5.78,41.95,42.16,False,False,False,False,True,mgo,
B1/E08-081/JAS/22,E08-081,18.0,18.6,0.6,1,0.26,5.81,40.47,43.25,False,False,False,False,True,mgo,
